school_name,borough,average_math
Stuyvesant High School,Manhattan,754
Bronx High School of Science,Bronx,714
Staten Island Technical High School,Staten Island,711
Queens High School for the Sciences at York College,Queens,701
"High School for Mathematics, Science, and Engineering at City College",Manhattan,683
Brooklyn Technical High School,Brooklyn,682
Townsend Harris High School,Queens,680
High School of American Studies at Lehman College,Bronx,669
"New Explorations into Science, Technology and Math High School",Manhattan,657
Eleanor Roosevelt High School,Manhattan,641
